date,channel,campaign,impressions,clicks,conversions,website_visitors,bounce_rate,avg_session_duration
2024-04-19,Organic Search,,4701,103,24,271,51.3539106072063,3.5235553707628084
2024-04-19,Social Media,,2362,185,22,1032,69.98556887189324,2.136495685397128
2024-04-19,Email Campaign,Spring Promo,2328,79,43,973,44.516551381074706,2.4180225920828198
2024-04-19,Display Ads,,4975,197,14,292,45.09591425090481,4.137834847684783
2024-04-20,Organic Search,New Product Launch,2921,102,3,513,35.31466612568129,3.5866514270340084
2024-04-20,Social Media,,4921,264,34,632,44.62613102277992,2.082858748954779
2024-04-20,Email Campaign,,931,281,23,404,69.14439360098496,4.031135310550225
2024-04-20,Display Ads,Summer Sale,3447,197,35,683,54.56838018138798,3.88201039971941
2024-04-21,Organic Search,,3080,57,11,988,63.193034707261184,2.9014948330077157
2024-04-21,Social Media,,944,275,15,1337,31.898317588087153,3.870501028136864
2024-04-21,Email Campaign,,984,282,19,120,68.33140314919136,3.0234216900618045
2024-04-21,Display Ads,New Product Launch,990,49,26,1476,49.271640678089966,2.2372389234182486
2024-04-22,Organic Search,,881,81,7,470,31.031442762921174,2.628110698400202
2024-04-22,Social Media,,4187,216,16,1118,63.63912253868275,4.902738663029384
2024-04-22,Email Campaign,New Product Launch,1831,180,37,382,32.02023354011942,4.36879213107965
2024-04-22,Display Ads,Spring Promo,2703,277,0,490,43.00884804208084,2.15348134173519
2024-04-23,Organic Search,Spring Promo,2685,136,1,693,30.007761915525037,1.8059564216626827
2024-04-23,Social Media,Summer Sale,3465,290,49,162,30.810838334701607,4.279808777098824
2024-04-23,Email Campaign,New Product Launch,1710,191,34,1075,65.20535570231536,1.1527591289936967
2024-04-23,Display Ads,,942,263,37,469,63.144395284756385,4.454144819299142
2024-04-24,Organic Search,,4282,56,38,622,68.62223227879423,3.194851055527093
2024-04-24,Social Media,,3913,173,13,1423,68.40983877489006,1.9978636024897312
2024-04-24,Email Campaign,,3046,219,24,1001,52.010187704291056,3.6931401125927366
2024-04-24,Display Ads,Spring Promo,3351,113,41,993,39.72187996603934,2.5340172785718895
2024-04-25,Organic Search,New Product Launch,764,169,35,1249,35.84538059897498,3.247368679291023
2024-04-25,Social Media,,4600,246,8,1456,58.56729431208542,3.386195465322868
2024-04-25,Email Campaign,Summer Sale,2510,99,27,108,50.651133566871664,3.5867323791545154
2024-04-25,Display Ads,,926,105,27,178,50.90123080456246,2.0570971915795577
2024-04-26,Organic Search,,638,41,19,748,49.41631265156219,2.6925560002694957
2024-04-26,Social Media,,870,79,28,793,53.337356044171614,4.9018553813651335
2024-04-26,Email Campaign,,3502,45,15,1106,36.57602091018901,2.6127067936546604
2024-04-26,Display Ads,Summer Sale,1637,64,35,1427,62.72856341714458,4.028245779006317
2024-04-27,Organic Search,New Product Launch,3144,259,6,253,52.26044554709439,3.9456582202966066
2024-04-27,Social Media,New Product Launch,1351,249,18,188,36.64399566176106,2.2456879931580174
2024-04-27,Email Campaign,,3745,167,42,1342,68.6889103831368,4.399805249561178
2024-04-27,Display Ads,New Product Launch,2988,57,46,518,41.668289241234966,2.5527785887286574
2024-04-28,Organic Search,Spring Promo,2534,223,7,1028,36.16728049750144,3.0075927926970345
2024-04-28,Social Media,,1863,104,30,274,47.93160878046063,3.8942527670559643
2024-04-28,Email Campaign,Spring Promo,1870,71,35,650,46.504223395962626,2.2251203900208054
2024-04-28,Display Ads,New Product Launch,4192,182,7,245,60.31132359922161,2.167642275654747
2024-04-29,Organic Search,,2134,186,34,1404,36.07383249301841,1.6016565524547897
2024-04-29,Social Media,Spring Promo,4327,90,25,413,66.82775983117696,2.0813949086416654
2024-04-29,Email Campaign,New Product Launch,3827,36,33,987,30.05407602262268,4.913245769013482
2024-04-29,Display Ads,,3234,289,27,688,59.69347392167653,4.283589104289925
2024-04-30,Organic Search,New Product Launch,1712,87,50,193,34.80706388020573,3.8837885594693335
2024-04-30,Social Media,New Product Launch,1680,106,9,920,52.484418443603026,1.6522008003153243
2024-04-30,Email Campaign,New Product Launch,4439,242,47,147,47.44835430472318,4.411802417221386
2024-04-30,Display Ads,Spring Promo,3638,124,27,152,66.76109997330575,1.175914568717893
